2457437.88673 17.675 0.013 4.60 280.0
2457440.86790 17.680 0.017 4.37 560.0
2457444.89993 17.695 0.020 5.14 666.0
2457447.82453 17.702 0.014 4.00 409.0
2457451.83393 17.698 0.015 4.17 515.0
2457452.91073 17.680 0.016 3.74 741.0
2457455.86669 17.703 0.014 4.90 266.0
2457457.89421 17.695 0.014 4.40 348.0
2457460.89171 17.719 0.013 4.04 306.0
2457462.89608 17.708 0.013 4.22 268.0
2457465.85946 17.699 0.015 4.73 365.0
2457470.76336 17.703 0.022 6.43 579.0
2457471.85224 17.716 0.018 4.85 508.0
2457485.83903 17.678 0.013 4.92 259.0
2457487.73337 17.716 0.014 4.99 317.0
2457488.85822 17.693 0.013 4.24 369.0
2457491.86732 17.718 0.013 4.28 260.0
2457492.88361 17.704 0.012 3.42 317.0
2457493.87066 17.682 0.011 3.87 220.0
2457494.85738 17.675 0.013 4.24 287.0
2457495.83554 17.692 0.016 6.07 284.0
2457498.72281 17.706 0.017 5.14 481.0
2457499.72506 17.700 0.018 4.96 516.0
2457499.92623 17.707 0.018 4.82 557.0
2457500.86819 17.664 0.019 5.33 548.0
2457508.65968 17.694 0.013 4.31 304.0
2457509.77666 17.708 0.015 5.64 296.0
2457511.85168 17.717 0.013 4.16 346.0
2457519.81850 17.671 0.017 5.91 413.0
2457526.66718 17.686 0.017 4.67 575.0
2457528.90262 17.650 0.022 5.65 804.0
2457534.68637 17.709 0.015 4.67 440.0
2457536.67886 17.688 0.015 5.03 295.0
2457545.84019 17.673 0.015 5.24 299.0
2457546.86414 17.707 0.019 6.08 403.0
2457547.53197 17.731 0.020 6.96 342.0
2457547.81524 17.719 0.015 5.76 232.0
2457549.70737 17.700 0.011 4.03 199.0
2457550.66661 17.700 0.017 6.80 235.0
2457554.62741 17.659 0.015 5.27 392.0
2457555.75577 17.691 0.014 4.49 382.0
2457557.69729 17.693 0.019 4.60 749.0
2457560.77556 17.666 0.025 5.54 1110.0
2457561.86183 17.755 0.024 4.63 1283.0
2457562.51041 17.714 0.020 7.17 354.0
2457566.72846 17.703 0.015 5.83 247.0
2457567.67077 17.702 0.015 4.90 349.0
2457568.64407 17.691 0.013 4.87 222.0
2457569.51242 17.684 0.018 6.54 380.0
2457569.68455 17.721 0.013 4.46 318.0
2457570.84980 17.750 0.022 7.42 348.0
2457573.69791 17.718 0.018 7.39 216.0
2457575.49081 17.714 0.020 7.21 295.0
2457575.82130 17.738 0.016 5.54 300.0
2457576.46594 17.767 0.020 6.67 483.0
2457576.83054 17.688 0.017 5.99 304.0
2457582.69891 17.735 0.018 6.49 309.0
2457582.71178 17.673 0.015 5.37 289.0
2457584.76098 17.742 0.018 5.62 438.0
2457589.76139 17.697 0.031 7.45 824.0
2457590.81024 17.747 0.032 7.29 823.0
2457593.74382 17.700 0.013 4.83 262.0
2457599.49523 17.717 0.018 6.05 321.0
2457599.56324 17.695 0.018 6.55 262.0
2457599.64055 17.712 0.015 5.18 244.0
2457599.67015 17.730 0.016 5.37 252.0
2457600.50475 17.710 0.019 6.90 270.0
2457600.59851 17.697 0.018 6.81 265.0
2457600.72436 17.707 0.015 6.07 473.0
2457601.72586 17.693 0.015 5.94 227.0
2457601.77066 17.694 0.018 6.62 279.0
2457603.50206 17.698 0.015 5.82 229.0
2457604.52533 17.728 0.017 6.11 292.0
2457605.54658 17.715 0.013 4.96 216.0
2457608.62429 17.735 0.012 4.09 240.0
2457609.72691 17.719 0.016 5.54 283.0
2457612.48570 17.759 0.025 6.74 566.0
2457616.53493 17.680 0.016 4.42 533.0
2457617.68070 17.694 0.020 5.05 635.0
2457621.47802 17.689 0.018 6.49 343.0
2457622.67158 17.716 0.014 4.11 332.0
2457624.57577 17.711 0.015 5.57 263.0
2457626.56986 17.701 0.015 5.24 295.0
2457631.58811 17.745 0.014 4.78 259.0
2457633.65735 17.692 0.019 6.69 314.0
2457637.48491 17.702 0.018 6.78 284.0
2457639.59372 17.668 0.015 4.71 365.0
2457647.55262 17.706 0.020 5.57 551.0
2457650.59329 17.736 0.019 5.90 470.0
2457653.56231 17.697 0.014 4.74 304.0
2457656.53294 17.722 0.017 6.15 337.0
2457662.53112 17.706 0.020 6.14 439.0
2457664.52789 17.758 0.024 6.74 489.0
2457798.86465 17.703 0.017 5.11 455.0
2457809.89151 17.694 0.015 4.94 308.0
2457812.90579 17.688 0.018 3.95 718.0
2457816.86368 17.718 0.016 5.45 304.0
2457818.90653 17.725 0.018 4.16 729.0
2457821.86368 17.720 0.017 4.98 357.0
2457823.90405 17.748 0.016 4.03 439.0
2457826.82052 17.692 0.017 4.61 571.0
2457828.83843 17.712 0.017 4.69 469.0
2457830.88488 17.686 0.020 4.27 1017.0
2457834.81539 17.699 0.014 4.45 296.0
2457835.90791 17.718 0.018 6.11 316.0
2457837.81181 17.739 0.015 5.61 226.0
2457838.88353 17.707 0.015 4.99 289.0
2457840.75717 17.722 0.016 5.84 266.0
2457841.83069 17.675 0.016 6.28 241.0
2457842.87125 17.699 0.016 5.88 269.0
2457843.92214 17.711 0.018 5.59 383.0
2457845.75401 17.696 0.017 6.56 264.0
2457846.81699 17.707 0.014 4.87 229.0
2457847.85298 17.712 0.014 4.97 243.0
2457848.88309 17.715 0.014 5.23 219.0
2457849.91347 17.697 0.012 3.76 266.0
2457851.73049 17.708 0.019 5.87 461.0
2457852.85180 17.674 0.019 7.52 308.0
2457854.77669 17.707 0.016 4.50 497.0
2457855.82276 17.703 0.018 4.58 545.0
2457856.84927 17.673 0.021 6.21 503.0
2457862.72974 17.683 0.017 6.02 313.0
2457863.80991 17.670 0.014 5.22 272.0
2457864.78372 17.709 0.012 3.54 251.0
2457865.77785 17.694 0.013 3.78 264.0
2457866.79930 17.683 0.012 3.69 266.0
2457867.82848 17.702 0.012 3.66 246.0
2457868.91868 17.671 0.020 6.80 328.0
2457869.91880 17.707 0.013 3.39 358.0
2457871.70330 17.703 0.013 4.12 279.0
2457872.71237 17.687 0.013 3.92 285.0
2457873.71479 17.698 0.013 3.91 281.0
2457874.69030 17.691 0.016 5.30 321.0
2457875.75725 17.706 0.016 5.52 295.0
2457876.73300 17.710 0.015 4.65 329.0
2457877.71022 17.689 0.013 3.79 330.0
2457878.74931 17.668 0.012 3.30 364.0
2457880.76751 17.682 0.016 5.04 387.0
2457881.86520 17.690 0.018 4.99 496.0
2457882.87094 17.699 0.019 5.25 538.0
2457890.79108 17.682 0.024 7.04 508.0
2457893.77228 17.734 0.016 5.28 306.0
2457894.65409 17.708 0.016 5.29 323.0
2457894.90648 17.681 0.016 5.08 359.0
2457897.71140 17.708 0.017 6.19 272.0
2457901.81870 17.716 0.016 5.46 308.0
2457902.78507 17.711 0.015 4.66 301.0
2457903.86179 17.714 0.016 4.87 353.0
2457904.77811 17.694 0.012 3.90 222.0
2457905.63184 17.715 0.015 5.30 280.0
2457905.88725 17.675 0.015 4.27 449.0
2457906.78969 17.696 0.013 3.51 356.0
2457907.67443 17.723 0.016 4.70 496.0
2457908.62841 17.718 0.018 5.16 448.0
2457908.88302 17.712 0.018 5.67 418.0
2457909.75941 17.727 0.016 3.91 561.0
2457910.55134 17.693 0.023 5.91 704.0
2457910.80146 17.693 0.015 4.02 466.0
2457911.66781 17.705 0.019 5.20 534.0
2457916.63210 17.716 0.016 4.07 617.0
2457916.84685 17.699 0.018 4.52 660.0
2457917.70017 17.683 0.017 5.09 391.0
2457918.56680 17.689 0.016 5.98 468.0
2457923.67533 17.711 0.016 5.19 288.0
2457924.50606 17.700 0.018 6.40 393.0
2457924.75393 17.702 0.014 4.01 278.0
2457925.65096 17.702 0.012 4.15 228.0
2457926.57321 17.685 0.018 6.56 302.0
2457928.65075 17.691 0.015 5.36 279.0
2457932.69143 17.682 0.020 7.11 293.0
2457933.55680 17.669 0.019 7.46 267.0
2457934.49761 17.714 0.017 5.70 391.0
2457934.74325 17.683 0.013 4.38 279.0
2457935.58539 17.726 0.014 4.49 290.0
2457935.85457 17.713 0.014 4.50 324.0
2457936.73603 17.689 0.016 5.89 242.0
2457937.55764 17.706 0.017 5.30 392.0
2457937.81517 17.721 0.019 6.89 282.0
2457944.48687 17.661 0.022 5.91 659.0
2457944.59050 17.698 0.017 4.40 578.0
2457944.70307 17.704 0.018 4.92 498.0
2457944.81445 17.729 0.032 7.52 750.0
2457945.66914 17.690 0.014 4.01 348.0
2457946.50720 17.685 0.015 5.44 274.0
2457946.77374 17.691 0.019 6.34 360.0
2457948.60034 17.717 0.014 4.88 236.0
2457949.54731 17.707 0.023 6.82 439.0
2457949.54959 17.708 0.024 6.89 519.0
2457952.68487 17.686 0.014 4.59 252.0
2457953.58731 17.722 0.013 3.91 231.0
2457954.48271 17.690 0.016 5.33 510.0
2457954.78017 17.663 0.014 5.05 320.0
2457956.59646 17.698 0.012 3.86 233.0
2457957.67066 17.678 0.016 5.73 260.0
2457958.69475 17.707 0.018 6.77 263.0
2457959.59228 17.697 0.013 4.45 248.0
2457960.48069 17.712 0.017 6.00 309.0
2457960.75261 17.708 0.017 6.53 250.0
2457961.74083 17.688 0.015 5.76 369.0
2457964.46801 17.689 0.029 5.81 1224.0
2457965.62406 17.709 0.015 4.27 332.0
2457966.57521 17.717 0.018 6.07 310.0
2457967.63518 17.659 0.018 5.90 405.0
2457971.50424 17.664 0.020 5.37 625.0
2457971.59475 17.707 0.019 5.14 510.0
2457971.69671 17.676 0.018 4.39 649.0
2457972.53064 17.726 0.027 7.27 544.0
2457972.63490 17.677 0.019 5.14 534.0
2457973.53431 17.657 0.025 7.48 510.0
2457974.52474 17.710 0.016 4.94 384.0
2457975.48973 17.689 0.019 6.81 297.0
2457980.47173 17.699 0.027 6.22 800.0
2457981.55334 17.715 0.015 4.72 342.0
2457982.60044 17.691 0.016 4.76 309.0
2457983.65309 17.676 0.014 5.10 274.0
2457985.53109 17.687 0.020 6.60 336.0
2457986.64191 17.688 0.013 4.59 253.0
2457990.50414 17.691 0.015 5.11 310.0
2457991.58262 17.680 0.018 6.58 286.0
2457992.64027 17.713 0.017 5.63 322.0
2457994.52008 17.721 0.021 5.67 512.0
2457998.52428 17.710 0.019 4.66 591.0
2457998.61806 17.722 0.024 4.91 984.0
2458000.55201 17.720 0.020 5.81 455.0
2458001.49084 17.687 0.017 4.98 433.0
2458002.58822 17.718 0.037 6.25 1674.0
2458005.47341 17.720 0.039 6.60 1478.0
2458010.51611 17.681 0.021 6.87 385.0
2458013.48047 17.687 0.019 4.81 633.0
2458015.50499 17.703 0.021 7.02 338.0
2458017.56302 17.728 0.018 5.57 379.0
2458020.55690 17.742 0.018 4.99 359.0
2458026.53082 17.693 0.022 4.42 1117.0
2458032.55826 17.726 0.026 6.12 731.0
2458164.85488 17.681 0.016 5.67 371.0
2458165.89367 17.657 0.016 4.21 635.0
2458167.88488 17.708 0.015 5.01 320.0
2458169.83903 17.678 0.017 5.89 343.0
2458170.87503 17.683 0.013 4.27 318.0
2458171.89671 17.695 0.018 3.82 798.0
2458173.82761 17.682 0.016 5.19 448.0
2458174.85274 17.659 0.015 4.49 438.0
2458175.86537 17.692 0.013 4.31 296.0
2458176.87104 17.722 0.014 4.01 350.0
2458181.87910 17.724 0.016 3.99 508.0
2458183.86553 17.702 0.019 5.90 448.0
2458184.90193 17.673 0.019 4.98 612.0
2458189.79167 17.682 0.015 4.96 330.0
2458190.89254 17.703 0.013 3.91 263.0
2458192.86889 17.715 0.014 4.42 296.0
2458194.82450 17.737 0.015 5.30 251.0
2458195.91657 17.701 0.020 3.69 1245.0
2458197.81235 17.673 0.014 4.93 275.0
2458198.88471 17.721 0.015 4.79 338.0
2458200.79522 17.703 0.015 5.21 318.0
2458201.86126 17.713 0.014 5.01 248.0
2458202.90541 17.708 0.014 4.22 311.0
2458204.76978 17.715 0.017 5.28 396.0
2458205.81510 17.689 0.017 6.08 310.0
2458206.88183 17.709 0.012 3.71 251.0
2458207.92484 17.692 0.022 4.10 1440.0
2458209.73067 17.678 0.019 5.62 692.0
2458210.75134 17.646 0.018 5.14 622.0
2458211.76699 17.661 0.019 5.69 571.0
2458212.76825 17.655 0.022 4.66 1368.0
2458217.82005 17.683 0.015 5.41 337.0
2458220.87433 17.688 0.013 4.77 244.0
2458221.90840 17.694 0.013 3.78 285.0
2458223.77406 17.686 0.014 4.94 261.0
2458224.82565 17.717 0.015 5.13 320.0
2458226.89791 17.703 0.016 5.74 270.0
2458228.72798 17.683 0.017 5.97 308.0
2458229.77253 17.708 0.013 4.61 231.0
2458230.77334 17.680 0.014 4.94 271.0
2458233.70721 17.706 0.015 4.72 386.0
2458236.78014 17.694 0.016 4.43 487.0
2458238.89557 17.726 0.018 4.09 697.0
2458244.88130 17.704 0.018 4.33 796.0
2458246.68836 17.680 0.021 7.14 359.0
2458246.93837 17.750 0.030 5.97 1142.0
2458247.86647 17.720 0.016 4.38 444.0
2458249.71908 17.705 0.016 5.90 294.0
2458250.65801 17.732 0.013 4.64 250.0
2458250.92070 17.706 0.016 4.96 375.0
2458251.84214 17.718 0.016 5.65 332.0
2458253.67694 17.706 0.015 5.43 283.0
2458254.69858 17.714 0.012 3.98 256.0
2458255.66689 17.663 0.015 5.39 284.0
2458256.61133 17.709 0.020 6.50 355.0
2458256.88238 17.727 0.015 4.03 396.0
2458257.82089 17.699 0.015 5.21 301.0
2458258.82774 17.717 0.013 3.64 277.0
2458259.81195 17.696 0.014 4.19 363.0
2458260.91075 17.685 0.016 4.41 523.0
2458261.89757 17.704 0.015 4.12 360.0
2458262.87235 17.721 0.013 4.18 264.0
2458263.81090 17.679 0.012 3.66 308.0
2458264.83033 17.717 0.015 3.94 487.0
2458265.74040 17.688 0.016 4.59 496.0
2458266.76293 17.664 0.022 6.00 666.0
2458271.82883 17.711 0.023 6.42 514.0
2458272.81546 17.689 0.015 4.27 405.0
2458273.68509 17.698 0.013 4.48 296.0
2458273.92256 17.720 0.014 5.70 234.0
2458274.80761 17.681 0.020 6.54 389.0
